Manuf_Year,Brand,Model,Variant,Driver_KM,Fuel,Transmission,Location,Price
2014,BMW,1 Series,118d Sport Line,60000.00,Diesel,Automatic,New Delhi,1285000
2016,Toyota,Innova Crysta,2.4 G MT,53000.00,Diesel,Manual,New Delhi,1375000
2017,Honda,BR-V ,i-VTEC VX MT,29000.00,Petrol,Manual,New Delhi,770000
2013,Jaguar,XF ,2.0 Diesel Pure,57000.00,Diesel,Automatic,New Delhi,1489000
2015,Toyota,Innova ,2.5 VX (Diesel) 7 Seater,95000.00,Diesel,Manual,New Delhi,899000
2020,Kia,Sonet ,HTK Plus Turbo DCT,25000.00,Petrol,Automatic,New Delhi,1070000
2018,Tata,Hexa ,XMA,45000.00,Diesel,Automatic,New Delhi,1375000
2014,Toyota,Corolla Altis,1.8 VL AT,45000.00,Petrol,Automatic,New Delhi,890000
2012,Honda,City ,S,65000.00,Petrol,Manual,New Delhi,399000
2015,Toyota,Corolla Altis,G AT,44000.00,Petrol,Automatic,New Delhi,990000
2008,Mercedes-Benz,C-Class ,C 200 AVANTGARDE,37000.00,Petrol,Automatic,New Delhi,499000
2018,Maruti,Vitara Brezza,VDi,37000.00,Diesel,Manual,New Delhi,750000
2011,Honda,Accord ,2.4 Elegance A/T,63000.00,Petrol,Automatic,New Delhi,450000
2013,Mahindra,Ssangyong Rexton,RX5,89000.00,Diesel,Manual,New Delhi,540000
2016,Nissan,Terrano ,XL,19000.00,Petrol,Manual,New Delhi,675000
2018,Tata,Hexa ,XMA,45000.00,Diesel,Automatic,New Delhi,1375000
2016,Skoda,Rapid ,1.6 MPI AT Elegance,49000.00,Petrol,Automatic,New Delhi,550000
2011,Honda,Accord ,2.4 Elegance A/T,63000.00,Petrol,Automatic,New Delhi,450000
2018,Maruti,Vitara Brezza,ZDi Plus,25000.00,Diesel,Manual,New Delhi,700000
2016,Mahindra,KUV 100,mFALCON G80 K8 5str,52000.00,Petrol,Manual,New Delhi,450000
2014,Maruti,Swift ,VDI,62000.00,Diesel,Manual,New Delhi,350000
2020,Mahindra,Scorpio ,1.99 S8,35000.00,Diesel,Manual,New Delhi,1200000
2013,Maruti,Swift Dzire,LDI,76500.00,Diesel,Manual,New Delhi,275000
2013,Maruti,Ertiga ,ZDI,68000.00,Diesel,Manual,New Delhi,465000
2018,Mercedes-Benz,GLE ,250d,120000.00,Diesel,Automatic,New Delhi,4300000
2014,Honda,Mobilio ,V i-DTEC,60000.00,Diesel,Manual,New Delhi,450000
2016,Hyundai,Grand i10,Magna,52000.00,Petrol,Manual,New Delhi,425000
2013,Maruti,Ertiga ,ZDI,68000.00,Diesel,Manual,New Delhi,465000
2014,Maruti,Swift ,VDI,62000.00,Diesel,Manual,New Delhi,350000
2016,Mahindra,KUV 100,mFALCON G80 K8 5str,52000.00,Petrol,Manual,New Delhi,450000
2016,Hyundai,Verna ,1.6 VTVT SX,26325.00,Petrol,Manual,New Delhi,650000
2018,Mahindra,XUV500 ,W6 1.99 mHawk,31000.00,Diesel,Manual,New Delhi,1175000
2015,Hyundai,Creta ,1.6 CRDi SX,76000.00,Diesel,Manual,New Delhi,785000
2013,Mahindra,Ssangyong Rexton,RX5,89000.00,Diesel,Manual,New Delhi,540000
2012,Honda,City ,1.5 V MT Sunroof,15000.00,Petrol,Manual,New Delhi,495000
2021,Maruti,Swift ,LXI,7000.00,Petrol,Manual,New Delhi,565000
2020,Maruti,Baleno ,Zeta CVT,50000.00,Petrol,Automatic,New Delhi,741126
2017,Mahindra,XUV500 ,W7,59000.00,Diesel,Manual,New Delhi,1092000
2016,Nissan,Terrano ,XL 110 PS,19000.00,Diesel,Manual,New Delhi,675000
2018,Skoda,Rapid ,1.5 TDI AT Style BSIV,68000.00,Diesel,Automatic,New Delhi,825000
2017,Hyundai,Grand i10,1.2 Kappa Asta,39000.00,Petrol,Manual,New Delhi,500000
2020,Toyota,Glanza ,G,22000.00,Petrol,Manual,New Delhi,790000
